Device_Type,Region,Base_Lifespan,Current_Age_Years,Usage_Hours_Per_Day,Dust_Index,Humidity_Index,Temperature_Stress,Power_Outage_Freq,Maintenance_Frequency,Actual_Total_Lifespan,Remaining_Useful_Life,Is_Failed
Projector,Pune/Nashik,5,0.37,2.3,0.6,0.64,0.67,Medium,Rare,4.3,3.93,0
Hard Disk / SSD,Konkan/Mumbai,5,0.98,7.8,0.53,0.78,0.63,Low,Rare,3.1,2.12,0
Monitor,Konkan/Mumbai,7,6.11,3.4,0.59,0.77,0.53,Medium,Rare,5.76,0.0,1
Router / Switch,Vidarbha/Marathwada,6,3.71,8.3,0.94,0.44,0.96,High,Rare,2.98,0.0,1
Smartphone,Konkan/Mumbai,4,4.26,4.0,0.53,0.87,0.74,Low,Biannual,4.05,0.0,1
Printer,Pune/Nashik,5,0.23,5.5,0.41,0.47,0.5,Medium,Rare,4.12,3.89,0
Smartphone,Konkan/Mumbai,4,1.3,8.7,0.49,0.97,0.76,High,Annual,3.16,1.86,0
Hard Disk / SSD,Pune/Nashik,5,1.04,8.3,0.59,0.53,0.53,Medium,Annual,3.51,2.47,0
Motherboard,Konkan/Mumbai,8,2.38,6.2,0.5,0.76,0.73,Low,Annual,5.82,3.44,0
Computer,Konkan/Mumbai,6,5.67,3.9,0.39,0.75,0.8,Medium,Annual,4.9,0.0,1
Mouse,Vidarbha/Marathwada,3,1.84,6.0,0.85,0.26,0.89,Medium,Rare,2.31,0.47,0
Keyboard,Konkan/Mumbai,4,5.37,3.6,0.52,0.82,0.74,Medium,Biannual,4.44,0.0,1
Printer,Pune/Nashik,5,2.43,6.1,0.59,0.59,0.62,Low,Rare,3.69,1.26,0
Router / Switch,Konkan/Mumbai,6,5.77,5.8,0.41,0.88,0.52,Medium,Biannual,5.21,0.0,1
Hard Disk / SSD,Konkan/Mumbai,5,3.13,6.7,0.44,0.87,0.75,Medium,Annual,3.08,0.0,1
Smartphone,Vidarbha/Marathwada,4,3.23,4.9,0.78,0.28,0.99,High,Annual,3.7,0.47,0
Mouse,Pune/Nashik,3,1.25,10.0,0.49,0.67,0.53,High,Annual,2.15,0.9,0
Motherboard,Vidarbha/Marathwada,8,4.97,7.9,0.84,0.23,0.89,High,Rare,4.06,0.0,1
Computer,Pune/Nashik,6,0.07,5.8,0.43,0.6,0.41,Medium,Rare,3.51,3.44,0
Monitor,Konkan/Mumbai,7,3.73,6.8,0.56,0.95,0.68,Low,Rare,4.5,0.77,0
Router / Switch,Pune/Nashik,6,1.82,7.7,0.45,0.67,0.61,High,Annual,4.1,2.28,0
Router / Switch,Konkan/Mumbai,6,3.1,8.7,0.56,0.77,0.63,Medium,Rare,3.57,0.47,0
Mouse,Vidarbha/Marathwada,3,1.21,4.1,0.89,0.39,0.94,High,Biannual,3.16,1.95,0
Mouse,Vidarbha/Marathwada,3,0.86,3.5,0.93,0.37,0.95,Medium,Annual,3.03,2.17,0
Motherboard,Konkan/Mumbai,8,3.72,7.1,0.55,0.82,0.62,Medium,Rare,3.87,0.15,0
Mouse,Vidarbha/Marathwada,3,1.34,5.1,0.63,0.25,0.96,High,Rare,2.15,0.81,0
Computer,Konkan/Mumbai,6,0.84,7.0,0.39,0.8,0.53,Medium,Rare,3.91,3.07,0
Router / Switch,Vidarbha/Marathwada,6,3.87,3.3,0.85,0.25,0.73,Low,Annual,6.2,2.33,0
Computer,Vidarbha/Marathwada,6,3.06,7.3,0.9,0.25,0.81,Low,Annual,4.55,1.49,0
Smartphone,Pune/Nashik,4,2.93,5.4,0.46,0.55,0.52,Medium,Rare,2.98,0.05,0
Mouse,Konkan/Mumbai,3,1.13,3.1,0.49,0.9,0.74,High,Annual,3.16,2.03,0
Projector,Konkan/Mumbai,5,0.1,5.1,0.53,0.93,0.7,Low,Rare,3.91,3.81,0
Motherboard,Vidarbha/Marathwada,8,1.41,8.4,0.73,0.3,0.73,High,Rare,3.44,2.03,0
Projector,Konkan/Mumbai,5,3.87,3.9,0.48,0.85,0.75,High,Biannual,5.05,1.18,0
Monitor,Konkan/Mumbai,7,3.42,3.3,0.32,0.72,0.55,Low,Biannual,8.29,4.87,0
Router / Switch,Vidarbha/Marathwada,6,3.8,8.8,0.94,0.33,0.82,High,Rare,2.99,0.0,1
Computer,Pune/Nashik,6,4.05,7.3,0.48,0.59,0.68,Low,Biannual,5.06,1.01,0
Smartphone,Vidarbha/Marathwada,4,0.35,8.1,0.93,0.25,0.71,Medium,Annual,3.01,2.66,0
Motherboard,Konkan/Mumbai,8,3.23,4.8,0.57,0.95,0.54,High,Rare,4.08,0.85,0
Smartphone,Pune/Nashik,4,1.11,6.6,0.65,0.59,0.48,Medium,Rare,2.61,1.5,0
Projector,Pune/Nashik,5,3.02,8.1,0.58,0.67,0.52,High,Rare,2.63,0.0,1
Hard Disk / SSD,Vidarbha/Marathwada,5,1.84,8.9,0.89,0.29,0.91,Medium,Annual,3.78,1.94,0
Printer,Vidarbha/Marathwada,5,4.32,7.8,0.78,0.29,0.95,High,Rare,3.35,0.0,1
Printer,Pune/Nashik,5,2.8,2.6,0.59,0.51,0.56,High,Annual,5.23,2.43,0
Projector,Vidarbha/Marathwada,5,5.48,2.1,0.85,0.32,0.87,Low,Annual,4.67,0.0,1
Monitor,Konkan/Mumbai,7,3.45,5.8,0.31,0.85,0.56,Low,Rare,4.96,1.51,0
Monitor,Vidarbha/Marathwada,7,5.38,5.7,0.84,0.32,0.74,Medium,Rare,4.7,0.0,1
Motherboard,Pune/Nashik,8,4.87,5.2,0.49,0.67,0.45,Medium,Rare,4.4,0.0,1
Mouse,Vidarbha/Marathwada,3,1.93,4.5,0.89,0.37,0.98,High,Annual,2.88,0.95,0
Computer,Vidarbha/Marathwada,6,2.6,2.5,0.64,0.27,0.98,Medium,Annual,5.82,3.22,0
Mouse,Pune/Nashik,3,0.43,7.0,0.56,0.48,0.7,Medium,Annual,2.32,1.89,0
Motherboard,Pune/Nashik,8,4.92,4.9,0.44,0.54,0.48,Medium,Rare,5.19,0.27,0
Router / Switch,Pune/Nashik,6,1.67,6.6,0.42,0.57,0.56,Medium,Rare,3.68,2.01,0
Smartphone,Konkan/Mumbai,4,1.96,8.1,0.32,0.73,0.69,Medium,Biannual,3.69,1.73,0
Smartphone,Vidarbha/Marathwada,4,2.17,9.6,0.71,0.25,0.8,Medium,Biannual,2.87,0.7,0
Hard Disk / SSD,Vidarbha/Marathwada,5,2.42,2.9,0.72,0.21,0.71,Low,Rare,4.03,1.61,0
Printer,Vidarbha/Marathwada,5,0.31,5.1,0.66,0.47,0.75,Low,Annual,4.96,4.65,0
Monitor,Pune/Nashik,7,6.57,3.2,0.48,0.41,0.43,High,Rare,5.88,0.0,1
Router / Switch,Konkan/Mumbai,6,4.71,6.2,0.56,0.73,0.57,Low,Annual,5.77,1.06,0
Computer,Konkan/Mumbai,6,4.6,4.4,0.47,0.98,0.62,Medium,Rare,4.16,0.0,1
Smartphone,Konkan/Mumbai,4,3.45,2.9,0.53,0.76,0.66,Medium,Annual,4.43,0.98,0
Smartphone,Konkan/Mumbai,4,0.29,2.9,0.31,0.95,0.71,Medium,Annual,3.82,3.53,0
Printer,Vidarbha/Marathwada,5,2.79,8.1,0.75,0.21,0.88,Low,Rare,3.71,0.92,0
Printer,Pune/Nashik,5,0.89,7.6,0.58,0.5,0.56,High,Biannual,4.01,3.12,0
Keyboard,Konkan/Mumbai,4,2.95,9.2,0.6,0.94,0.54,High,Rare,2.22,0.0,1
Smartphone,Konkan/Mumbai,4,2.48,9.0,0.36,0.83,0.71,Medium,Rare,2.42,0.0,1
Printer,Pune/Nashik,5,4.04,2.9,0.53,0.41,0.42,Low,Rare,4.18,0.14,0
Mouse,Vidarbha/Marathwada,3,1.45,2.4,0.68,0.44,0.76,Medium,Rare,2.58,1.13,0
Mouse,Konkan/Mumbai,3,2.49,6.5,0.45,0.81,0.79,High,Annual,2.31,0.0,1
Projector,Vidarbha/Marathwada,5,4.26,4.0,0.65,0.21,0.84,Medium,Biannual,4.68,0.42,0
Keyboard,Konkan/Mumbai,4,3.31,4.1,0.43,0.9,0.62,Medium,Rare,2.88,0.0,1
Smartphone,Pune/Nashik,4,1.46,8.2,0.52,0.5,0.5,High,Rare,2.48,1.02,0
Computer,Vidarbha/Marathwada,6,1.82,7.9,0.63,0.23,0.79,High,Rare,3.26,1.44,0
Computer,Vidarbha/Marathwada,6,2.44,2.9,0.69,0.46,0.93,Medium,Rare,3.87,1.43,0
Keyboard,Pune/Nashik,4,0.73,3.4,0.63,0.51,0.46,Medium,Biannual,4.33,3.6,0
Monitor,Pune/Nashik,7,3.0,2.1,0.69,0.49,0.49,Medium,Rare,6.4,3.4,0
Mouse,Vidarbha/Marathwada,3,0.08,7.9,0.91,0.48,0.98,Medium,Rare,1.95,1.87,0
Projector,Pune/Nashik,5,5.28,7.9,0.64,0.61,0.66,Medium,Biannual,4.28,0.0,1
Motherboard,Vidarbha/Marathwada,8,2.36,7.6,0.82,0.2,0.91,Medium,Annual,5.46,3.1,0
Projector,Pune/Nashik,5,1.29,2.8,0.62,0.55,0.58,High,Rare,3.71,2.42,0
Mouse,Pune/Nashik,3,2.23,4.5,0.49,0.43,0.46,High,Rare,2.31,0.08,0
Router / Switch,Pune/Nashik,6,3.8,6.2,0.46,0.64,0.45,Medium,Rare,3.61,0.0,1
Printer,Pune/Nashik,5,1.37,6.1,0.62,0.63,0.55,High,Annual,4.01,2.64,0
Projector,Konkan/Mumbai,5,2.6,7.9,0.5,0.85,0.74,Medium,Rare,2.89,0.29,0
Motherboard,Konkan/Mumbai,8,7.74,2.6,0.35,0.85,0.54,Medium,Annual,6.98,0.0,1
Printer,Vidarbha/Marathwada,5,2.77,4.3,0.68,0.47,0.79,Low,Rare,3.77,1.0,0
Projector,Vidarbha/Marathwada,5,3.52,2.6,0.79,0.27,0.74,High,Rare,3.57,0.05,0
Keyboard,Konkan/Mumbai,4,0.39,3.6,0.44,0.82,0.79,Low,Annual,4.17,3.78,0
Mouse,Pune/Nashik,3,2.1,6.7,0.5,0.48,0.47,Low,Rare,2.07,0.0,1
Computer,Pune/Nashik,6,1.09,6.6,0.44,0.47,0.67,Medium,Biannual,4.84,3.75,0
Projector,Konkan/Mumbai,5,2.18,9.0,0.33,0.89,0.68,Medium,Rare,2.61,0.43,0
Computer,Pune/Nashik,6,1.15,6.8,0.53,0.63,0.69,Medium,Annual,4.77,3.62,0
Printer,Konkan/Mumbai,5,3.83,9.0,0.43,0.9,0.52,High,Rare,3.0,0.0,1
Hard Disk / SSD,Pune/Nashik,5,3.81,7.0,0.41,0.52,0.42,Medium,Annual,3.79,0.0,1
Keyboard,Vidarbha/Marathwada,4,2.72,5.6,0.79,0.24,0.83,High,Rare,3.15,0.43,0
Motherboard,Konkan/Mumbai,8,1.2,9.6,0.31,0.93,0.57,Medium,Rare,3.9,2.7,0
Keyboard,Pune/Nashik,4,3.5,5.8,0.43,0.43,0.56,Medium,Rare,3.09,0.0,1
Motherboard,Vidarbha/Marathwada,8,1.86,9.9,0.73,0.5,0.9,High,Biannual,4.07,2.21,0
Computer,Konkan/Mumbai,6,1.1,8.7,0.48,0.89,0.6,Medium,Annual,3.46,2.36,0
Computer,Konkan/Mumbai,6,4.98,6.5,0.3,0.77,0.74,High,Annual,4.46,0.0,1
Printer,Konkan/Mumbai,5,0.0,8.8,0.37,0.71,0.68,High,Rare,3.31,3.31,0
Mouse,Pune/Nashik,3,1.88,2.8,0.52,0.65,0.56,Medium,Rare,2.72,0.84,0
Monitor,Konkan/Mumbai,7,3.8,6.1,0.39,0.81,0.63,High,Annual,6.34,2.54,0
Mouse,Konkan/Mumbai,3,0.66,7.8,0.53,0.73,0.79,High,Annual,2.49,1.83,0
Monitor,Pune/Nashik,7,3.11,6.7,0.41,0.43,0.63,High,Annual,6.38,3.27,0
Printer,Konkan/Mumbai,5,0.07,5.8,0.55,0.8,0.54,Medium,Biannual,4.64,4.57,0
Smartphone,Vidarbha/Marathwada,4,0.82,3.7,0.79,0.31,0.94,High,Rare,3.29,2.47,0
Computer,Vidarbha/Marathwada,6,4.76,5.3,0.74,0.31,0.88,High,Annual,4.17,0.0,1
Projector,Vidarbha/Marathwada,5,0.18,6.6,0.79,0.25,0.74,Medium,Annual,3.86,3.68,0
Printer,Pune/Nashik,5,1.16,2.4,0.43,0.45,0.7,Medium,Annual,5.62,4.46,0
Monitor,Konkan/Mumbai,7,2.27,8.5,0.54,0.77,0.65,Medium,Rare,4.3,2.03,0
Hard Disk / SSD,Konkan/Mumbai,5,4.08,4.5,0.55,0.89,0.65,Medium,Rare,3.53,0.0,1
Computer,Pune/Nashik,6,5.26,6.9,0.54,0.61,0.58,Low,Annual,4.51,0.0,1
Projector,Pune/Nashik,5,0.11,5.3,0.58,0.4,0.53,High,Rare,3.31,3.2,0
Monitor,Vidarbha/Marathwada,7,4.87,2.8,0.91,0.35,0.84,High,Rare,6.19,1.32,0
Projector,Vidarbha/Marathwada,5,2.85,6.2,0.93,0.21,0.88,Medium,Annual,3.81,0.96,0
Motherboard,Konkan/Mumbai,8,1.58,5.1,0.34,0.9,0.5,Medium,Rare,5.08,3.5,0
Printer,Vidarbha/Marathwada,5,0.15,5.3,0.81,0.31,0.73,Medium,Rare,4.03,3.88,0
Motherboard,Pune/Nashik,8,1.69,3.8,0.64,0.68,0.52,High,Biannual,6.59,4.9,0
Motherboard,Vidarbha/Marathwada,8,6.29,5.2,0.76,0.46,0.74,Medium,Annual,5.3,0.0,1
Computer,Konkan/Mumbai,6,3.43,6.0,0.55,0.91,0.5,Medium,Annual,4.08,0.65,0
Router / Switch,Konkan/Mumbai,6,3.51,3.6,0.42,0.81,0.7,Low,Rare,4.78,1.27,0
Computer,Konkan/Mumbai,6,1.16,7.3,0.5,0.84,0.52,High,Biannual,4.33,3.17,0
Computer,Pune/Nashik,6,2.91,7.2,0.65,0.67,0.45,Medium,Rare,3.22,0.31,0
Monitor,Vidarbha/Marathwada,7,0.08,7.6,0.64,0.38,0.94,High,Rare,5.01,4.93,0
Monitor,Pune/Nashik,7,1.18,5.4,0.42,0.59,0.5,High,Rare,4.74,3.56,0
Smartphone,Pune/Nashik,4,5.45,2.1,0.5,0.69,0.6,Low,Annual,4.48,0.0,1
Keyboard,Konkan/Mumbai,4,2.32,6.9,0.44,0.79,0.73,High,Rare,2.75,0.43,0
Keyboard,Pune/Nashik,4,1.81,6.5,0.65,0.67,0.45,Medium,Annual,3.38,1.57,0
Router / Switch,Pune/Nashik,6,1.52,6.0,0.67,0.4,0.49,Low,Rare,4.62,3.1,0
Motherboard,Konkan/Mumbai,8,1.59,6.5,0.57,0.76,0.75,Low,Rare,4.4,2.81,0
Hard Disk / SSD,Vidarbha/Marathwada,5,1.38,9.3,0.94,0.46,0.95,Medium,Annual,3.06,1.68,0
Hard Disk / SSD,Pune/Nashik,5,1.73,9.2,0.56,0.5,0.67,Low,Rare,2.84,1.11,0
Hard Disk / SSD,Konkan/Mumbai,5,0.82,5.6,0.52,0.74,0.61,High,Rare,2.5,1.68,0
Smartphone,Pune/Nashik,4,4.36,6.8,0.55,0.57,0.44,High,Biannual,3.69,0.0,1
Projector,Pune/Nashik,5,4.11,2.2,0.47,0.55,0.55,Medium,Annual,4.96,0.85,0
Hard Disk / SSD,Konkan/Mumbai,5,3.04,3.6,0.52,0.76,0.78,Medium,Biannual,4.5,1.46,0
Smartphone,Konkan/Mumbai,4,3.3,2.9,0.31,0.77,0.64,High,Annual,4.5,1.2,0
Smartphone,Konkan/Mumbai,4,2.31,8.9,0.47,0.93,0.79,Medium,Biannual,2.99,0.68,0
Hard Disk / SSD,Konkan/Mumbai,5,2.32,7.6,0.36,0.81,0.77,Low,Rare,3.08,0.76,0
Keyboard,Pune/Nashik,4,1.69,3.0,0.49,0.65,0.47,Medium,Biannual,4.29,2.6,0
Router / Switch,Vidarbha/Marathwada,6,2.63,8.6,0.82,0.47,0.77,Medium,Rare,3.37,0.74,0
Monitor,Konkan/Mumbai,7,1.12,2.2,0.4,0.83,0.55,High,Rare,6.6,5.48,0
Keyboard,Konkan/Mumbai,4,2.66,6.5,0.47,0.81,0.74,High,Rare,2.72,0.06,0
Computer,Vidarbha/Marathwada,6,0.04,5.3,0.86,0.27,0.95,Medium,Annual,4.46,4.42,0
Projector,Vidarbha/Marathwada,5,4.38,2.6,0.93,0.21,0.93,Medium,Rare,3.91,0.0,1
Mouse,Vidarbha/Marathwada,3,0.32,7.3,0.72,0.22,0.9,Medium,Rare,1.88,1.56,0
Projector,Pune/Nashik,5,1.72,5.2,0.49,0.43,0.63,Medium,Rare,3.69,1.97,0
Monitor,Vidarbha/Marathwada,7,2.13,3.0,0.83,0.44,0.89,Medium,Annual,7.66,5.53,0
Hard Disk / SSD,Vidarbha/Marathwada,5,0.13,2.5,0.74,0.46,0.81,High,Rare,3.48,3.35,0
Printer,Konkan/Mumbai,5,4.32,5.4,0.57,0.93,0.72,High,Rare,3.77,0.0,1
Keyboard,Konkan/Mumbai,4,3.54,9.3,0.46,0.82,0.76,Low,Rare,2.66,0.0,1
Mouse,Pune/Nashik,3,0.06,9.2,0.54,0.51,0.61,Medium,Annual,2.11,2.05,0
Smartphone,Konkan/Mumbai,4,2.08,2.2,0.59,0.72,0.76,High,Rare,3.21,1.13,0
Keyboard,Konkan/Mumbai,4,0.06,5.0,0.55,0.9,0.52,High,Annual,3.39,3.33,0
Router / Switch,Pune/Nashik,6,1.06,6.4,0.54,0.66,0.65,High,Biannual,4.81,3.75,0
Smartphone,Pune/Nashik,4,2.53,2.9,0.68,0.44,0.46,Medium,Annual,3.82,1.29,0
Computer,Vidarbha/Marathwada,6,1.43,3.3,0.66,0.24,0.94,High,Rare,3.95,2.52,0
Motherboard,Pune/Nashik,8,4.03,5.5,0.48,0.58,0.5,High,Annual,5.06,1.03,0
Printer,Konkan/Mumbai,5,1.84,3.3,0.32,0.96,0.57,Medium,Annual,5.44,3.6,0
Printer,Konkan/Mumbai,5,2.14,7.3,0.5,0.86,0.71,Medium,Rare,3.35,1.21,0
Monitor,Vidarbha/Marathwada,7,1.89,2.6,0.61,0.5,0.91,Medium,Annual,7.22,5.33,0
Motherboard,Vidarbha/Marathwada,8,2.84,7.1,0.81,0.4,0.89,High,Rare,3.87,1.03,0
Computer,Pune/Nashik,6,1.13,6.0,0.52,0.65,0.44,Medium,Annual,4.53,3.4,0
Monitor,Konkan/Mumbai,7,5.65,8.6,0.53,0.93,0.52,Medium,Rare,4.67,0.0,1
Smartphone,Vidarbha/Marathwada,4,0.33,6.0,0.76,0.27,0.74,High,Rare,2.74,2.41,0
Router / Switch,Vidarbha/Marathwada,6,2.62,4.4,0.89,0.44,0.99,Medium,Rare,4.36,1.74,0
Keyboard,Pune/Nashik,4,3.21,5.2,0.52,0.7,0.52,Medium,Biannual,3.63,0.42,0
Router / Switch,Pune/Nashik,6,2.84,9.6,0.44,0.61,0.49,Medium,Rare,2.98,0.14,0
Router / Switch,Vidarbha/Marathwada,6,1.04,2.4,0.95,0.28,0.87,Low,Rare,5.33,4.29,0
Smartphone,Konkan/Mumbai,4,0.21,4.1,0.31,0.96,0.79,Medium,Rare,3.22,3.01,0
Hard Disk / SSD,Vidarbha/Marathwada,5,2.38,5.8,0.69,0.34,0.83,Medium,Biannual,4.49,2.11,0
Computer,Pune/Nashik,6,0.12,5.5,0.63,0.42,0.45,Low,Annual,5.44,5.32,0
Projector,Vidarbha/Marathwada,5,1.45,6.2,0.74,0.48,0.77,Low,Rare,3.49,2.04,0
Hard Disk / SSD,Konkan/Mumbai,5,1.01,4.3,0.42,0.96,0.62,High,Annual,3.37,2.36,0
Router / Switch,Vidarbha/Marathwada,6,1.67,6.6,0.67,0.31,0.82,Medium,Rare,3.97,2.3,0
Router / Switch,Pune/Nashik,6,1.31,6.7,0.57,0.57,0.61,Medium,Rare,3.81,2.5,0
Smartphone,Konkan/Mumbai,4,3.42,3.1,0.34,0.75,0.79,Medium,Rare,3.25,0.0,1
Hard Disk / SSD,Vidarbha/Marathwada,5,0.79,5.0,0.81,0.34,0.78,Medium,Annual,4.3,3.51,0
Hard Disk / SSD,Pune/Nashik,5,1.37,7.2,0.66,0.61,0.43,High,Rare,2.91,1.54,0
Monitor,Vidarbha/Marathwada,7,5.3,4.1,0.79,0.48,0.97,Low,Rare,6.18,0.88,0
Keyboard,Konkan/Mumbai,4,0.58,3.0,0.41,0.9,0.56,Low,Rare,3.82,3.24,0
Projector,Konkan/Mumbai,5,2.11,7.3,0.46,0.89,0.55,Low,Annual,4.29,2.18,0
Mouse,Vidarbha/Marathwada,3,1.53,9.0,0.76,0.28,0.8,High,Rare,1.73,0.2,0
Smartphone,Pune/Nashik,4,0.52,8.9,0.65,0.6,0.7,Low,Rare,2.28,1.76,0
Router / Switch,Vidarbha/Marathwada,6,0.87,9.2,0.83,0.25,0.83,Low,Annual,4.38,3.51,0
Computer,Konkan/Mumbai,6,0.46,7.7,0.32,0.92,0.52,Medium,Annual,4.1,3.64,0
Keyboard,Pune/Nashik,4,1.43,4.6,0.56,0.5,0.41,High,Rare,3.1,1.67,0
Router / Switch,Pune/Nashik,6,4.15,8.8,0.62,0.5,0.44,Medium,Biannual,4.25,0.1,0
Router / Switch,Vidarbha/Marathwada,6,4.44,2.2,0.78,0.38,0.88,High,Annual,5.34,0.9,0
Router / Switch,Vidarbha/Marathwada,6,0.1,8.4,0.75,0.45,0.98,Medium,Annual,4.24,4.14,0
Printer,Konkan/Mumbai,5,4.66,8.2,0.53,0.92,0.73,Medium,Annual,4.13,0.0,1
Printer,Vidarbha/Marathwada,5,2.69,6.6,0.8,0.36,0.8,Medium,Rare,3.82,1.13,0
Hard Disk / SSD,Vidarbha/Marathwada,5,1.25,6.7,0.62,0.46,0.8,Medium,Annual,3.44,2.19,0
Projector,Pune/Nashik,5,3.02,2.2,0.54,0.45,0.63,High,Rare,3.74,0.72,0
Keyboard,Pune/Nashik,4,2.17,7.2,0.68,0.47,0.53,High,Rare,2.45,0.28,0
Projector,Vidarbha/Marathwada,5,1.61,5.0,0.82,0.38,0.82,Medium,Rare,3.61,2.0,0
Mouse,Pune/Nashik,3,1.4,9.6,0.46,0.46,0.53,Medium,Rare,1.72,0.32,0
Projector,Konkan/Mumbai,5,4.07,2.2,0.58,0.92,0.59,Medium,Biannual,4.82,0.75,0
Projector,Vidarbha/Marathwada,5,2.68,4.6,0.85,0.25,0.74,High,Rare,3.59,0.91,0
Computer,Konkan/Mumbai,6,5.09,6.0,0.48,0.74,0.65,Medium,Rare,4.11,0.0,1
Motherboard,Pune/Nashik,8,2.47,5.8,0.58,0.48,0.52,Medium,Rare,4.49,2.02,0
Printer,Vidarbha/Marathwada,5,2.55,2.7,0.65,0.24,0.89,High,Rare,3.8,1.25,0
Printer,Konkan/Mumbai,5,1.67,4.2,0.54,0.91,0.8,Low,Rare,4.49,2.82,0
Smartphone,Konkan/Mumbai,4,0.13,9.8,0.4,0.77,0.55,Medium,Annual,2.82,2.69,0
Mouse,Konkan/Mumbai,3,0.23,9.4,0.33,1.0,0.76,Medium,Rare,1.72,1.49,0
Router / Switch,Pune/Nashik,6,2.97,6.1,0.5,0.48,0.53,Low,Annual,4.9,1.93,0
Keyboard,Konkan/Mumbai,4,1.06,2.9,0.54,0.93,0.54,Low,Annual,4.23,3.17,0
Mouse,Vidarbha/Marathwada,3,0.52,9.4,0.84,0.36,0.88,Low,Rare,1.81,1.29,0
Smartphone,Konkan/Mumbai,4,1.54,6.5,0.36,0.87,0.78,Medium,Rare,3.07,1.53,0
Computer,Vidarbha/Marathwada,6,5.35,2.3,0.89,0.38,1.0,Low,Biannual,6.02,0.67,0
Smartphone,Konkan/Mumbai,4,0.61,6.3,0.49,0.86,0.56,Medium,Rare,2.95,2.34,0
Printer,Konkan/Mumbai,5,1.65,5.3,0.39,1.0,0.67,Medium,Rare,3.98,2.33,0
Smartphone,Konkan/Mumbai,4,1.97,9.6,0.41,1.0,0.55,Low,Annual,2.65,0.68,0
Mouse,Konkan/Mumbai,3,1.12,4.7,0.49,0.99,0.61,High,Rare,2.06,0.94,0
Hard Disk / SSD,Konkan/Mumbai,5,0.01,2.6,0.58,0.75,0.79,Medium,Rare,3.34,3.33,0
Monitor,Vidarbha/Marathwada,7,2.03,8.9,0.81,0.32,0.92,Medium,Biannual,5.59,3.56,0
Motherboard,Vidarbha/Marathwada,8,1.67,3.6,0.72,0.24,0.88,Medium,Rare,4.67,3.0,0
Monitor,Vidarbha/Marathwada,7,4.5,4.7,0.73,0.24,0.75,Medium,Annual,6.81,2.31,0
Hard Disk / SSD,Vidarbha/Marathwada,5,1.99,9.1,0.74,0.49,0.71,Medium,Biannual,3.78,1.79,0
Projector,Pune/Nashik,5,3.61,8.8,0.42,0.52,0.42,Medium,Annual,3.82,0.21,0
Smartphone,Konkan/Mumbai,4,3.01,5.1,0.33,0.88,0.79,Medium,Annual,3.96,0.95,0
Hard Disk / SSD,Konkan/Mumbai,5,2.44,6.8,0.41,0.91,0.68,Low,Biannual,3.97,1.53,0
Computer,Konkan/Mumbai,6,0.21,4.7,0.52,0.93,0.72,Medium,Biannual,4.61,4.4,0
Printer,Pune/Nashik,5,3.93,8.4,0.46,0.41,0.42,Medium,Rare,3.51,0.0,1
Router / Switch,Konkan/Mumbai,6,5.79,4.4,0.32,0.73,0.67,Medium,Annual,5.2,0.0,1
Keyboard,Konkan/Mumbai,4,3.47,4.5,0.34,0.89,0.6,Low,Annual,3.74,0.27,0
Smartphone,Vidarbha/Marathwada,4,0.36,3.6,0.89,0.23,0.9,Medium,Annual,4.17,3.81,0
Smartphone,Konkan/Mumbai,4,4.9,4.7,0.56,0.72,0.68,Medium,Biannual,4.25,0.0,1
Monitor,Konkan/Mumbai,7,0.77,6.3,0.56,0.96,0.68,High,Annual,6.4,5.63,0
Router / Switch,Konkan/Mumbai,6,3.82,7.4,0.41,0.72,0.61,High,Rare,3.61,0.0,1
Router / Switch,Pune/Nashik,6,3.39,7.8,0.64,0.43,0.59,High,Rare,3.02,0.0,1
Printer,Pune/Nashik,5,0.38,5.3,0.41,0.66,0.51,Medium,Rare,3.87,3.49,0
Computer,Konkan/Mumbai,6,2.63,2.4,0.58,0.98,0.76,Medium,Rare,4.21,1.58,0
Printer,Pune/Nashik,5,4.07,8.6,0.44,0.48,0.5,High,Rare,3.07,0.0,1
Monitor,Konkan/Mumbai,7,6.81,7.5,0.52,0.75,0.76,High,Biannual,5.86,0.0,1
Router / Switch,Konkan/Mumbai,6,3.38,3.0,0.59,0.73,0.71,Low,Annual,6.72,3.34,0
Printer,Konkan/Mumbai,5,0.57,3.6,0.57,0.96,0.57,High,Rare,4.26,3.69,0
Monitor,Pune/Nashik,7,2.65,3.3,0.47,0.57,0.66,Medium,Rare,5.46,2.81,0
Computer,Vidarbha/Marathwada,6,1.75,8.3,0.7,0.45,0.99,Low,Rare,3.45,1.7,0
Smartphone,Konkan/Mumbai,4,0.36,3.4,0.43,0.86,0.76,Medium,Rare,3.67,3.31,0
Motherboard,Konkan/Mumbai,8,1.77,9.2,0.31,0.81,0.73,Medium,Rare,3.84,2.07,0
Keyboard,Vidarbha/Marathwada,4,2.52,6.3,0.88,0.24,0.98,Medium,Annual,3.71,1.19,0
Smartphone,Vidarbha/Marathwada,4,3.2,9.9,0.89,0.41,0.76,High,Rare,2.27,0.0,1
Hard Disk / SSD,Konkan/Mumbai,5,3.63,8.4,0.42,0.9,0.67,Medium,Rare,2.66,0.0,1
Keyboard,Pune/Nashik,4,2.62,3.7,0.64,0.47,0.48,High,Rare,3.17,0.55,0
Monitor,Konkan/Mumbai,7,0.55,6.4,0.32,0.81,0.66,Medium,Rare,5.25,4.7,0
