device_type,manufacturer,region,manufacturing_year,base_lifespan_yrs,current_age_yrs,daily_usage_hrs,temperature,environment,power_quality,maintenance,software_load,remaining_life_yrs,failed
Hard Disk / SSD,Samsung,Vidarbha/Marathwada,2024,5,0.57,6.6,Normal,Clean,Direct Grid,Regular,Light,4.31,0
Television,Mi,Konkan/Mumbai,2022,8,3.19,12.3,Normal,Harsh,Frequent Outages,Occasional,Heavy,3.96,0
Printer,HP,Vidarbha/Marathwada,2024,5,1.31,3.4,Hot,Clean,Direct Grid,None,Light,3.56,0
Microwave,IFB,Pune/Nashik,2018,8,7.3,11.6,Normal,Normal,UPS Protected,Regular,Office,0.0,1
Microwave,IFB,Konkan/Mumbai,2025,8,0.16,6.6,Normal,Normal,Direct Grid,Occasional,Heavy,7.38,0
Router / Switch,Cisco,Konkan/Mumbai,2022,6,3.29,10.2,Normal,Normal,Direct Grid,Regular,Office,2.12,0
Smartwatch,Samsung,Pune/Nashik,2023,3,1.66,10.6,Normal,Harsh,Direct Grid,Regular,Office,1.18,0
Projector,Sony,Vidarbha/Marathwada,2022,5,3.0,4.6,Cool,Clean,UPS Protected,None,Office,1.68,0
Laptop,HP,Konkan/Mumbai,2024,5,0.88,11.5,Normal,Clean,Direct Grid,Regular,Office,3.69,0
Smartphone,Samsung,Pune/Nashik,2023,4,1.63,12.5,Normal,Normal,UPS Protected,Regular,Office,2.24,0
Battery,Luminous,Pune/Nashik,2022,3,3.48,4.2,Cool,Clean,Direct Grid,Occasional,Office,0.0,1
Smartphone,Vivo,Konkan/Mumbai,2021,4,3.58,2.9,Normal,Clean,Direct Grid,Occasional,Office,0.11,0
Printer,Canon,Pune/Nashik,2023,5,1.96,3.9,Hot,Clean,Direct Grid,Occasional,Heavy,2.7,0
Battery,Luminous,Vidarbha/Marathwada,2023,3,2.49,11.3,Hot,Normal,Direct Grid,Occasional,Heavy,0.0,1
Battery,Exide,Pune/Nashik,2024,3,0.6,3.8,Normal,Normal,Frequent Outages,Regular,Office,2.32,0
Battery,Exide,Konkan/Mumbai,2023,3,2.04,13.0,Hot,Normal,Direct Grid,Occasional,Office,0.46,0
Television,Samsung,Pune/Nashik,2022,8,2.87,10.3,Hot,Normal,UPS Protected,Regular,Office,4.92,0
Mouse,Zebronics,Konkan/Mumbai,2022,3,3.16,10.4,Hot,Clean,Direct Grid,Regular,Office,0.0,1
Projector,Sony,Konkan/Mumbai,2020,5,4.59,11.2,Normal,Harsh,Direct Grid,None,Office,0.0,1
Computer,Lenovo,Vidarbha/Marathwada,2023,6,1.94,12.2,Hot,Normal,Frequent Outages,Regular,Light,3.31,0
Television,Mi,Vidarbha/Marathwada,2022,8,3.18,5.8,Normal,Normal,Direct Grid,Regular,Light,3.94,0
Monitor,BenQ,Konkan/Mumbai,2021,7,4.19,6.4,Normal,Clean,UPS Protected,None,Office,2.08,0
Camera,Logitech,Vidarbha/Marathwada,2021,5,4.43,5.3,Hot,Normal,Direct Grid,Regular,Light,0.0,1
Washing Machine,LG,Pune/Nashik,2022,10,2.68,8.7,Cool,Clean,Frequent Outages,Occasional,Office,6.36,0
Refrigerator,Samsung,Pune/Nashik,2019,12,6.15,1.6,Normal,Clean,Direct Grid,None,Light,5.85,0
Printer,Epson,Konkan/Mumbai,2024,5,1.38,10.4,Normal,Normal,UPS Protected,Occasional,Light,3.31,0
Battery,Luminous,Pune/Nashik,2022,3,3.18,9.2,Normal,Normal,Frequent Outages,None,Heavy,0.0,1
Motherboard,Intel,Konkan/Mumbai,2020,8,5.25,1.6,Normal,Normal,UPS Protected,Regular,Heavy,2.35,0
Keyboard,Logitech,Konkan/Mumbai,2023,4,2.39,5.1,Cool,Harsh,Direct Grid,Regular,Light,1.18,0
Washing Machine,LG,Pune/Nashik,2018,10,6.7,6.5,Cool,Normal,UPS Protected,None,Light,2.13,0
Hard Disk / SSD,Crucial,Konkan/Mumbai,2023,5,2.11,3.1,Normal,Normal,Direct Grid,Regular,Light,2.49,0
Mouse,Logitech,Pune/Nashik,2023,3,1.72,4.8,Normal,Normal,UPS Protected,Regular,Office,1.09,0
Washing Machine,Whirlpool,Konkan/Mumbai,2018,10,6.98,3.3,Normal,Normal,UPS Protected,Occasional,Office,2.26,0
Refrigerator,Samsung,Vidarbha/Marathwada,2019,12,5.77,4.8,Hot,Normal,Frequent Outages,Occasional,Heavy,5.26,0
Smartwatch,Apple,Konkan/Mumbai,2022,3,2.82,12.2,Hot,Normal,Direct Grid,Occasional,Heavy,0.0,1
Printer,Epson,Vidarbha/Marathwada,2019,5,5.86,7.6,Hot,Harsh,Direct Grid,Regular,Light,0.0,1
Router / Switch,Cisco,Pune/Nashik,2021,6,4.05,1.7,Hot,Clean,Frequent Outages,Occasional,Office,1.45,0
Camera,Sony,Vidarbha/Marathwada,2019,5,6.42,3.8,Normal,Normal,Direct Grid,Regular,Office,0.0,1
Monitor,LG,Pune/Nashik,2023,7,2.05,1.5,Cool,Normal,Frequent Outages,Occasional,Light,4.95,0
Monitor,BenQ,Konkan/Mumbai,2021,7,4.35,12.6,Normal,Normal,Frequent Outages,Occasional,Heavy,1.94,0
Camera,Nikon,Vidarbha/Marathwada,2021,5,4.13,5.2,Cool,Normal,Direct Grid,Regular,Light,0.42,0
Television,Samsung,Vidarbha/Marathwada,2021,8,3.66,10.5,Hot,Harsh,UPS Protected,Occasional,Office,3.82,0
Keyboard,Logitech,Pune/Nashik,2024,4,1.15,1.6,Normal,Normal,Direct Grid,Regular,Light,2.51,0
Printer,HP,Konkan/Mumbai,2019,5,6.06,1.7,Normal,Normal,UPS Protected,Regular,Office,0.0,1
Microwave,IFB,Konkan/Mumbai,2015,8,9.74,12.4,Normal,Normal,Direct Grid,Regular,Office,0.0,1
Washing Machine,Samsung,Konkan/Mumbai,2023,10,2.04,7.0,Hot,Normal,UPS Protected,Regular,Light,7.03,0
Refrigerator,LG,Konkan/Mumbai,2019,12,5.67,12.8,Cool,Clean,Direct Grid,Regular,Heavy,5.19,0
Washing Machine,LG,Konkan/Mumbai,2024,10,1.24,2.3,Cool,Clean,UPS Protected,Regular,Office,8.76,0
Smartwatch,Apple,Pune/Nashik,2023,3,2.03,6.3,Cool,Clean,UPS Protected,None,Heavy,0.84,0
Smartphone,Realme,Konkan/Mumbai,2023,4,1.84,4.8,Cool,Clean,UPS Protected,Occasional,Light,1.95,0
Refrigerator,Samsung,Pune/Nashik,2021,12,3.61,1.8,Normal,Clean,UPS Protected,None,Office,8.39,0
Television,Sony,Pune/Nashik,2019,8,5.85,9.5,Hot,Normal,Direct Grid,Occasional,Light,0.75,0
Battery,Generic,Pune/Nashik,2021,3,4.38,13.4,Cool,Clean,Frequent Outages,None,Office,0.0,1
Projector,Sony,Pune/Nashik,2018,5,6.7,10.5,Normal,Normal,Direct Grid,Occasional,Light,0.0,1
Refrigerator,Godrej,Vidarbha/Marathwada,2020,12,4.65,8.9,Normal,Clean,Frequent Outages,Occasional,Light,6.47,0
Projector,ViewSonic,Pune/Nashik,2024,5,0.65,4.4,Normal,Normal,Direct Grid,None,Light,4.33,0
Computer,Acer,Pune/Nashik,2023,6,2.25,3.4,Normal,Clean,Direct Grid,None,Light,3.57,0
Microwave,Bajaj,Vidarbha/Marathwada,2021,8,4.07,12.9,Normal,Harsh,Direct Grid,Occasional,Light,2.83,0
Motherboard,Asus,Pune/Nashik,2021,8,4.38,13.0,Hot,Clean,UPS Protected,Regular,Office,2.63,0
Television,Sony,Pune/Nashik,2018,8,6.66,10.0,Normal,Clean,UPS Protected,Occasional,Office,0.89,0
Keyboard,Dell,Pune/Nashik,2021,4,4.49,10.4,Cool,Harsh,Direct Grid,Regular,Light,0.0,1
Printer,Brother,Vidarbha/Marathwada,2021,5,4.17,13.1,Hot,Harsh,Frequent Outages,Occasional,Heavy,0.0,1
Television,LG,Vidarbha/Marathwada,2021,8,4.28,13.4,Hot,Clean,UPS Protected,None,Heavy,3.03,0
Smartwatch,Samsung,Pune/Nashik,2022,3,3.41,9.5,Normal,Clean,Frequent Outages,Regular,Office,0.0,1
Microwave,IFB,Vidarbha/Marathwada,2017,8,7.79,4.1,Hot,Normal,Frequent Outages,None,Light,0.0,1
Keyboard,Logitech,Vidarbha/Marathwada,2022,4,2.6,7.0,Hot,Harsh,Direct Grid,Occasional,Heavy,0.79,0
Mouse,Dell,Vidarbha/Marathwada,2022,3,2.76,2.9,Hot,Clean,Frequent Outages,Regular,Office,0.0,1
Printer,Epson,Konkan/Mumbai,2024,5,1.32,5.3,Cool,Clean,Direct Grid,Regular,Office,3.68,0
Mouse,Dell,Konkan/Mumbai,2025,3,0.03,11.2,Hot,Clean,UPS Protected,Occasional,Office,2.97,0
Laptop,Dell,Konkan/Mumbai,2020,5,4.61,6.8,Hot,Harsh,Frequent Outages,Occasional,Office,0.0,1
Printer,Epson,Vidarbha/Marathwada,2019,5,5.73,11.6,Hot,Normal,Frequent Outages,Regular,Light,0.0,1
Computer,HP,Pune/Nashik,2020,6,4.6,1.1,Cool,Normal,UPS Protected,Occasional,Office,1.26,0
Battery,Exide,Pune/Nashik,2024,3,0.55,9.9,Normal,Clean,Direct Grid,Regular,Light,2.22,0
Washing Machine,IFB,Pune/Nashik,2017,10,7.59,2.3,Cool,Normal,Direct Grid,Regular,Office,1.08,0
Air Conditioner,Samsung,Pune/Nashik,2025,10,0.31,14.0,Normal,Clean,UPS Protected,Occasional,Office,8.75,0
Monitor,LG,Konkan/Mumbai,2018,7,6.71,6.4,Normal,Harsh,Frequent Outages,None,Light,0.0,1
Washing Machine,Whirlpool,Pune/Nashik,2022,10,3.06,1.3,Normal,Harsh,UPS Protected,None,Light,6.21,0
Keyboard,HP,Konkan/Mumbai,2020,4,4.72,6.2,Cool,Normal,Direct Grid,Occasional,Light,0.0,1
Router / Switch,TP-Link,Konkan/Mumbai,2024,6,1.16,3.5,Normal,Normal,UPS Protected,None,Light,4.84,0
Hard Disk / SSD,Samsung,Konkan/Mumbai,2024,5,1.39,5.0,Normal,Normal,Direct Grid,Regular,Heavy,3.61,0
Battery,Generic,Pune/Nashik,2022,3,3.03,4.9,Hot,Normal,UPS Protected,None,Office,0.0,1
Printer,Epson,Vidarbha/Marathwada,2018,5,6.8,4.8,Hot,Normal,Direct Grid,Occasional,Office,0.0,1
Camera,Sony,Vidarbha/Marathwada,2023,5,2.12,12.4,Normal,Clean,Direct Grid,Regular,Office,2.37,0
Router / Switch,D-Link,Pune/Nashik,2023,6,1.98,13.1,Cool,Harsh,UPS Protected,Regular,Light,3.83,0
Battery,Exide,Pune/Nashik,2024,3,0.64,5.2,Hot,Clean,UPS Protected,Occasional,Heavy,2.36,0
Monitor,Samsung,Pune/Nashik,2019,7,6.45,10.3,Hot,Normal,Direct Grid,Occasional,Light,0.0,1
Monitor,Samsung,Vidarbha/Marathwada,2020,7,5.13,1.1,Hot,Harsh,Direct Grid,None,Office,1.13,0
Mouse,HP,Pune/Nashik,2020,3,4.55,12.7,Normal,Normal,Direct Grid,Occasional,Light,0.0,1
Router / Switch,Cisco,Vidarbha/Marathwada,2020,6,5.21,4.7,Hot,Normal,Frequent Outages,Regular,Office,0.0,1
Computer,Assembled,Vidarbha/Marathwada,2020,6,5.13,5.1,Normal,Harsh,Direct Grid,Regular,Office,0.21,0
Washing Machine,LG,Pune/Nashik,2020,10,5.05,3.3,Normal,Normal,UPS Protected,Occasional,Office,3.92,0
Air Conditioner,Samsung,Vidarbha/Marathwada,2015,10,9.56,6.1,Hot,Normal,Frequent Outages,Regular,Office,0.0,1
Laptop,Lenovo,Vidarbha/Marathwada,2022,5,3.11,12.5,Normal,Normal,UPS Protected,Occasional,Light,1.46,0
Air Conditioner,Voltas,Konkan/Mumbai,2020,10,5.02,10.7,Normal,Clean,Frequent Outages,None,Light,3.41,0
Mouse,HP,Vidarbha/Marathwada,2022,3,3.08,11.8,Normal,Harsh,Direct Grid,None,Office,0.0,1
Smartphone,Vivo,Konkan/Mumbai,2023,4,2.22,10.8,Normal,Normal,Frequent Outages,Regular,Office,1.58,0
Motherboard,Gigabyte,Pune/Nashik,2016,8,8.92,11.0,Normal,Normal,UPS Protected,Regular,Light,0.0,1
Monitor,Dell,Vidarbha/Marathwada,2017,7,7.69,12.7,Hot,Harsh,Frequent Outages,Regular,Light,0.0,1
Printer,Brother,Vidarbha/Marathwada,2025,5,0.4,11.9,Cool,Harsh,Direct Grid,Occasional,Heavy,4.47,0
Computer,Lenovo,Pune/Nashik,2017,6,7.97,11.7,Normal,Harsh,Direct Grid,Regular,Light,0.0,1
Refrigerator,LG,Pune/Nashik,2020,12,4.52,9.5,Cool,Clean,Frequent Outages,None,Heavy,7.22,0
Camera,Nikon,Vidarbha/Marathwada,2021,5,4.29,13.4,Normal,Harsh,Frequent Outages,None,Light,0.0,1
Computer,Assembled,Vidarbha/Marathwada,2024,6,1.47,1.9,Hot,Harsh,Frequent Outages,None,Office,4.48,0
Projector,BenQ,Pune/Nashik,2021,5,4.27,2.1,Hot,Clean,UPS Protected,None,Office,0.0,1
Camera,Nikon,Konkan/Mumbai,2022,5,2.89,7.1,Cool,Clean,Frequent Outages,Occasional,Heavy,1.57,0
Keyboard,Zebronics,Konkan/Mumbai,2024,4,1.34,7.9,Normal,Normal,Direct Grid,None,Light,2.22,0
Microwave,IFB,Pune/Nashik,2023,8,2.44,12.3,Normal,Clean,Frequent Outages,None,Office,5.11,0
Hard Disk / SSD,Crucial,Pune/Nashik,2024,5,0.8,2.7,Hot,Normal,Direct Grid,None,Office,4.2,0
Computer,Acer,Konkan/Mumbai,2020,6,4.51,10.9,Hot,Normal,UPS Protected,Occasional,Office,0.75,0
Motherboard,Gigabyte,Pune/Nashik,2018,8,6.79,2.0,Normal,Normal,UPS Protected,None,Office,0.75,0
Motherboard,MSI,Konkan/Mumbai,2018,8,7.21,12.0,Normal,Clean,UPS Protected,Occasional,Office,0.0,1
Smartwatch,Apple,Konkan/Mumbai,2024,3,1.49,9.7,Cool,Normal,UPS Protected,Occasional,Office,1.27,0
Printer,Epson,Konkan/Mumbai,2023,5,2.33,5.9,Cool,Harsh,Direct Grid,Occasional,Light,2.21,0
Hard Disk / SSD,Samsung,Konkan/Mumbai,2018,5,6.96,11.2,Normal,Harsh,Frequent Outages,Regular,Light,0.0,1
Computer,Dell,Pune/Nashik,2020,6,4.81,4.3,Cool,Normal,Direct Grid,Occasional,Office,0.21,0
Keyboard,Dell,Konkan/Mumbai,2024,4,1.17,2.7,Normal,Normal,UPS Protected,None,Office,2.83,0
Hard Disk / SSD,WD,Konkan/Mumbai,2023,5,1.97,10.3,Cool,Clean,Direct Grid,Occasional,Light,2.71,0
Smartphone,Xiaomi,Vidarbha/Marathwada,2020,4,5.06,3.1,Hot,Harsh,Direct Grid,Regular,Light,0.0,1
Smartphone,OnePlus,Pune/Nashik,2022,4,3.18,11.9,Normal,Normal,UPS Protected,None,Light,0.15,0
Air Conditioner,LG,Pune/Nashik,2018,10,7.48,9.3,Cool,Clean,Direct Grid,Occasional,Heavy,1.13,0
Camera,Canon,Pune/Nashik,2020,5,5.44,11.4,Cool,Normal,UPS Protected,Regular,Office,0.0,1
Refrigerator,LG,Vidarbha/Marathwada,2014,12,11.47,3.2,Hot,Clean,Frequent Outages,Occasional,Office,0.0,1
Television,TCL,Vidarbha/Marathwada,2023,8,2.4,8.2,Hot,Normal,Direct Grid,Regular,Light,4.98,0
Laptop,Acer,Konkan/Mumbai,2023,5,1.85,1.5,Hot,Normal,Direct Grid,Regular,Heavy,2.51,0
Hard Disk / SSD,Samsung,Konkan/Mumbai,2021,5,4.49,6.6,Normal,Normal,Direct Grid,Occasional,Light,0.0,1
Printer,HP,Vidarbha/Marathwada,2020,5,4.86,5.0,Hot,Normal,UPS Protected,Regular,Office,0.0,1
Computer,Acer,Vidarbha/Marathwada,2017,6,7.75,13.9,Hot,Harsh,Direct Grid,Regular,Office,0.0,1
Mouse,HP,Pune/Nashik,2023,3,1.68,11.8,Normal,Clean,Direct Grid,Occasional,Office,1.15,0
Television,LG,Konkan/Mumbai,2016,8,9.08,13.5,Normal,Harsh,Direct Grid,Regular,Office,0.0,1
Laptop,Dell,Konkan/Mumbai,2021,5,3.98,2.5,Normal,Harsh,Direct Grid,None,Office,0.21,0
Motherboard,Asus,Vidarbha/Marathwada,2025,8,0.1,10.1,Hot,Harsh,Frequent Outages,None,Office,7.44,0
Motherboard,MSI,Vidarbha/Marathwada,2016,8,8.93,13.7,Cool,Clean,Frequent Outages,Occasional,Heavy,0.0,1
Television,TCL,Vidarbha/Marathwada,2020,8,4.56,5.8,Hot,Clean,UPS Protected,None,Light,2.45,0
Smartwatch,Apple,Vidarbha/Marathwada,2023,3,2.27,6.5,Hot,Harsh,Frequent Outages,Regular,Light,0.1,0
Camera,Logitech,Pune/Nashik,2022,5,3.02,7.5,Normal,Clean,UPS Protected,Regular,Light,1.81,0
Refrigerator,LG,Pune/Nashik,2013,12,12.42,11.5,Cool,Clean,UPS Protected,Regular,Office,0.0,1
Battery,Amaron,Vidarbha/Marathwada,2024,3,0.68,4.8,Normal,Normal,Frequent Outages,Occasional,Light,2.32,0
Smartphone,Samsung,Vidarbha/Marathwada,2025,4,0.41,5.7,Cool,Clean,Frequent Outages,Occasional,Office,3.59,0
Computer,Dell,Vidarbha/Marathwada,2022,6,2.79,4.1,Hot,Clean,UPS Protected,None,Office,3.04,0
Laptop,Asus,Vidarbha/Marathwada,2021,5,3.76,1.8,Normal,Harsh,Direct Grid,None,Office,0.81,0
Projector,Epson,Konkan/Mumbai,2024,5,0.9,13.7,Cool,Harsh,Direct Grid,Occasional,Heavy,3.6,0
Hard Disk / SSD,Crucial,Konkan/Mumbai,2022,5,2.71,10.9,Cool,Normal,UPS Protected,None,Office,1.68,0
Hard Disk / SSD,Crucial,Konkan/Mumbai,2023,5,1.71,5.1,Cool,Normal,Direct Grid,Occasional,Light,2.79,0
Laptop,Apple,Konkan/Mumbai,2023,5,1.73,5.3,Cool,Clean,Direct Grid,Occasional,Light,3.27,0
Television,Samsung,Pune/Nashik,2019,8,6.5,9.0,Normal,Clean,UPS Protected,Regular,Office,1.05,0
Monitor,BenQ,Vidarbha/Marathwada,2021,7,3.8,4.7,Hot,Harsh,Frequent Outages,Occasional,Office,1.91,0
Hard Disk / SSD,WD,Konkan/Mumbai,2019,5,6.24,8.4,Cool,Harsh,Direct Grid,Occasional,Light,0.0,1
Laptop,Acer,Konkan/Mumbai,2022,5,3.0,6.1,Normal,Normal,Direct Grid,None,Office,1.52,0
Keyboard,Zebronics,Konkan/Mumbai,2021,4,3.96,11.5,Normal,Normal,UPS Protected,Regular,Office,0.0,1
Microwave,LG,Pune/Nashik,2023,8,1.95,2.8,Normal,Clean,Direct Grid,Occasional,Heavy,5.88,0
Camera,Canon,Vidarbha/Marathwada,2021,5,3.91,7.5,Hot,Clean,Direct Grid,None,Office,0.27,0
Projector,BenQ,Vidarbha/Marathwada,2020,5,5.25,1.4,Hot,Normal,Direct Grid,Regular,Heavy,0.0,1
Air Conditioner,Daikin,Pune/Nashik,2022,10,2.59,6.8,Cool,Normal,Direct Grid,Regular,Office,7.36,0
Keyboard,Logitech,Vidarbha/Marathwada,2020,4,5.45,6.6,Hot,Clean,Direct Grid,Occasional,Office,0.0,1
Refrigerator,Godrej,Pune/Nashik,2016,12,8.96,8.4,Normal,Clean,Direct Grid,Occasional,Heavy,1.04,0
Keyboard,Dell,Vidarbha/Marathwada,2023,4,2.27,9.0,Hot,Clean,UPS Protected,None,Heavy,1.49,0
Monitor,LG,Konkan/Mumbai,2023,7,2.21,7.3,Normal,Harsh,Frequent Outages,Occasional,Light,4.73,0
Router / Switch,D-Link,Vidarbha/Marathwada,2025,6,0.3,11.4,Cool,Harsh,Direct Grid,None,Light,5.13,0
Smartwatch,Apple,Vidarbha/Marathwada,2021,3,3.75,9.5,Hot,Clean,UPS Protected,Occasional,Light,0.0,1
Keyboard,Dell,Pune/Nashik,2019,4,5.81,7.6,Cool,Clean,UPS Protected,None,Office,0.0,1
Projector,Sony,Konkan/Mumbai,2020,5,4.51,11.5,Hot,Harsh,Frequent Outages,Regular,Office,0.0,1
Microwave,Samsung,Pune/Nashik,2018,8,6.93,2.2,Cool,Normal,Direct Grid,Regular,Office,0.82,0
Computer,HP,Vidarbha/Marathwada,2021,6,4.25,7.6,Normal,Harsh,Frequent Outages,Regular,Office,1.18,0
Microwave,Bajaj,Konkan/Mumbai,2023,8,1.84,8.8,Normal,Clean,UPS Protected,None,Light,6.16,0
Camera,Sony,Vidarbha/Marathwada,2022,5,2.65,10.7,Normal,Normal,Frequent Outages,Occasional,Office,1.77,0
Projector,ViewSonic,Konkan/Mumbai,2023,5,1.99,6.9,Cool,Normal,Direct Grid,None,Heavy,2.81,0
Refrigerator,Godrej,Konkan/Mumbai,2021,12,3.83,6.6,Normal,Normal,Direct Grid,None,Office,7.6,0
Microwave,Samsung,Vidarbha/Marathwada,2024,8,1.29,7.8,Hot,Normal,Direct Grid,Occasional,Office,6.71,0
Washing Machine,Samsung,Konkan/Mumbai,2017,10,8.45,13.7,Normal,Normal,Direct Grid,None,Light,0.0,1
Router / Switch,Cisco,Vidarbha/Marathwada,2020,6,5.27,12.3,Normal,Harsh,Direct Grid,Occasional,Office,0.0,1
Air Conditioner,Voltas,Vidarbha/Marathwada,2021,10,3.83,9.1,Normal,Clean,Frequent Outages,Regular,Light,5.03,0
Battery,Amaron,Konkan/Mumbai,2024,3,1.04,3.1,Hot,Harsh,UPS Protected,Occasional,Heavy,1.54,0
Computer,Lenovo,Vidarbha/Marathwada,2019,6,6.07,1.2,Hot,Harsh,Direct Grid,Occasional,Light,0.0,1
Monitor,Samsung,Pune/Nashik,2022,7,3.07,10.0,Normal,Clean,Direct Grid,Regular,Heavy,3.45,0
Microwave,IFB,Konkan/Mumbai,2021,8,4.11,2.8,Cool,Clean,UPS Protected,Occasional,Office,3.7,0
Camera,Nikon,Vidarbha/Marathwada,2021,5,4.03,12.1,Hot,Normal,Direct Grid,Occasional,Light,0.17,0
Microwave,Bajaj,Konkan/Mumbai,2017,8,7.61,9.9,Hot,Clean,UPS Protected,Occasional,Office,0.0,1
Smartwatch,Samsung,Vidarbha/Marathwada,2022,3,2.55,10.4,Hot,Normal,Frequent Outages,Occasional,Office,0.03,0
Washing Machine,LG,Vidarbha/Marathwada,2014,10,11.45,10.6,Hot,Normal,Direct Grid,None,Light,0.0,1
Camera,Logitech,Konkan/Mumbai,2022,5,2.97,11.3,Normal,Harsh,Direct Grid,Regular,Light,1.36,0
Router / Switch,D-Link,Pune/Nashik,2020,6,5.27,4.3,Normal,Harsh,Direct Grid,None,Heavy,0.0,1
Camera,Nikon,Pune/Nashik,2022,5,3.09,1.2,Cool,Normal,Direct Grid,Regular,Heavy,1.57,0
Monitor,LG,Vidarbha/Marathwada,2017,7,8.49,1.5,Hot,Normal,Direct Grid,None,Office,0.0,1
Air Conditioner,Blue Star,Konkan/Mumbai,2019,10,5.63,2.9,Normal,Harsh,UPS Protected,Regular,Office,4.17,0
Washing Machine,Whirlpool,Pune/Nashik,2013,10,11.99,5.5,Normal,Harsh,Direct Grid,Regular,Light,0.0,1
Keyboard,Dell,Vidarbha/Marathwada,2022,4,2.69,1.7,Hot,Clean,Direct Grid,None,Office,0.76,0
Router / Switch,TP-Link,Pune/Nashik,2023,6,2.07,7.7,Normal,Normal,Frequent Outages,Regular,Heavy,3.8,0
Air Conditioner,Samsung,Vidarbha/Marathwada,2024,10,0.94,11.9,Hot,Harsh,Direct Grid,None,Light,7.94,0
Smartphone,Apple,Konkan/Mumbai,2019,4,5.67,2.5,Cool,Harsh,UPS Protected,Occasional,Office,0.0,1
Battery,Generic,Pune/Nashik,2022,3,3.23,7.9,Normal,Normal,Direct Grid,None,Office,0.0,1
Printer,Canon,Vidarbha/Marathwada,2020,5,5.25,8.8,Normal,Harsh,Frequent Outages,None,Heavy,0.0,1
Air Conditioner,LG,Konkan/Mumbai,2017,10,8.32,4.3,Normal,Clean,Frequent Outages,None,Office,0.34,0
Mouse,Zebronics,Pune/Nashik,2024,3,0.57,1.2,Normal,Clean,UPS Protected,Regular,Office,2.39,0
Refrigerator,Samsung,Vidarbha/Marathwada,2015,12,10.01,1.1,Hot,Clean,Frequent Outages,Regular,Light,0.27,0
Router / Switch,Cisco,Vidarbha/Marathwada,2019,6,6.47,4.5,Hot,Clean,Direct Grid,None,Light,0.0,1
Smartphone,Xiaomi,Vidarbha/Marathwada,2021,4,4.2,3.6,Normal,Clean,Frequent Outages,Occasional,Office,0.0,1
Air Conditioner,Voltas,Konkan/Mumbai,2020,10,4.63,11.3,Normal,Harsh,UPS Protected,Regular,Office,3.92,0
Battery,Luminous,Pune/Nashik,2020,3,4.58,1.3,Cool,Clean,Direct Grid,Regular,Light,0.0,1
Camera,Sony,Konkan/Mumbai,2019,5,5.52,13.5,Normal,Normal,Direct Grid,Occasional,Office,0.0,1
Refrigerator,Samsung,Vidarbha/Marathwada,2018,12,6.68,11.5,Hot,Clean,Frequent Outages,Regular,Office,3.44,0
Battery,Generic,Vidarbha/Marathwada,2021,3,4.46,6.7,Normal,Normal,Direct Grid,Occasional,Light,0.0,1
Printer,HP,Konkan/Mumbai,2018,5,6.59,5.6,Normal,Harsh,Direct Grid,None,Light,0.0,1
Printer,Epson,Konkan/Mumbai,2023,5,2.4,4.6,Normal,Clean,Direct Grid,None,Office,2.02,0
Motherboard,Gigabyte,Pune/Nashik,2020,8,4.94,7.0,Normal,Clean,Direct Grid,None,Light,2.12,0
Router / Switch,Cisco,Konkan/Mumbai,2018,6,6.71,9.1,Cool,Clean,Direct Grid,Occasional,Office,0.0,1
Air Conditioner,Daikin,Pune/Nashik,2020,10,5.09,2.7,Normal,Normal,UPS Protected,Occasional,Office,4.37,0
Printer,HP,Vidarbha/Marathwada,2024,5,0.69,11.3,Hot,Normal,Frequent Outages,Occasional,Heavy,4.22,0
Mouse,Logitech,Vidarbha/Marathwada,2025,3,0.04,1.8,Hot,Harsh,Direct Grid,Occasional,Office,2.71,0
Printer,HP,Konkan/Mumbai,2019,5,6.37,11.1,Normal,Normal,Direct Grid,Regular,Light,0.0,1
Air Conditioner,Samsung,Vidarbha/Marathwada,2014,10,10.92,8.7,Hot,Harsh,Direct Grid,Regular,Light,0.0,1
Television,LG,Pune/Nashik,2020,8,4.65,8.6,Hot,Normal,Direct Grid,Occasional,Light,3.05,0
Television,Samsung,Konkan/Mumbai,2021,8,3.84,5.9,Normal,Normal,Direct Grid,Occasional,Office,3.79,0
Mouse,Logitech,Konkan/Mumbai,2023,3,1.64,5.9,Normal,Normal,Direct Grid,None,Heavy,1.17,0
Television,Mi,Konkan/Mumbai,2021,8,4.07,3.1,Normal,Normal,Direct Grid,Regular,Office,3.76,0
Mouse,Dell,Pune/Nashik,2024,3,0.84,11.2,Hot,Normal,Direct Grid,None,Office,1.83,0
Projector,Epson,Konkan/Mumbai,2018,5,6.78,2.6,Cool,Normal,UPS Protected,Occasional,Light,0.0,1
Refrigerator,Godrej,Vidarbha/Marathwada,2015,12,10.43,9.1,Cool,Normal,Direct Grid,Regular,Heavy,0.0,1
Motherboard,MSI,Konkan/Mumbai,2015,8,9.83,9.3,Normal,Harsh,UPS Protected,Regular,Light,0.0,1
Microwave,IFB,Konkan/Mumbai,2023,8,2.02,6.4,Normal,Normal,Direct Grid,Regular,Light,5.98,0
Refrigerator,Samsung,Pune/Nashik,2020,12,4.59,4.0,Normal,Normal,Direct Grid,Regular,Light,6.64,0
Keyboard,Logitech,Vidarbha/Marathwada,2025,4,0.26,7.7,Hot,Clean,Direct Grid,Occasional,Office,3.74,0
